2014/04/22 09:44:44.484, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.484, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.484, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.487, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.487, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.487, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.506, A-2013-P49540, 0008, I, 020200017, Workflow : facade.Initialize : 44.506, , , WorkflowLibrary.Workflow
2014/04/22 09:44:44.507, A-2013-P49540, 0008, I, 030101001, G->F CALL [Initialize()], , , Exam.ExamFacade
2014/04/22 09:44:44.517, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetDestinationSetting : 44.517, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.518, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetDestinationSetting()], , , Exam.ExamFacade
2014/04/22 09:44:44.519, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetDestinationSetting : 44.519, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.519, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetDestinationSetting()], , , Exam.ExamFacade
2014/04/22 09:44:44.520, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataApplicationExposureRecord : 44.520, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.520, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataApplicationExposureRecord()], , , Exam.ExamFacade
2014/04/22 09:44:44.635, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 44.635, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.635, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetCharacterLocale()], , , Exam.ExamFacade
2014/04/22 09:44:44.642, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetInputCharSetting : 44.642, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.642, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetInputCharSetting()], , , Exam.ExamFacade
2014/04/22 09:44:44.816, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSensorInfoList : 44.816, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.817, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorInfoList()], , , Exam.ExamFacade
2014/04/22 09:44:44.848, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAccessPointSetting : 44.847, , , WorkflowLibrary.Configflow
2014/04/22 09:44:44.848, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetAccessPointSetting()], , , Exam.ExamFacade
2014/04/22 09:44:45.206, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataPatientInputSetting : 45.206, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.207, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataPatientInputSetting()], , , Exam.ExamFacade
2014/04/22 09:44:45.345, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataPatientAppearance : 45.345, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.346, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataPatientAppearance()], , , Exam.ExamFacade
2014/04/22 09:44:45.472, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataPrinter : 45.472, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.473, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataPrinter()], , , Exam.ExamFacade
2014/04/22 09:44:45.696, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataPrinterModels : 45.696, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.697, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataPrinterModels()], , , Exam.ExamFacade
2014/04/22 09:44:45.705, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataFilmDefinition : 45.705, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.706, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataFilmDefinition()], , , Exam.ExamFacade
2014/04/22 09:44:45.712, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetFilmingSettingMapList : 45.712, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.712, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetFilmingSettingMapList()], , , Exam.ExamFacade
2014/04/22 09:44:45.726, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataStorageAndCommitConnectionSet : 45.726, , , WorkflowLibrary.Configflow
2014/04/22 09:44:45.727, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataStorageAndCommitConnectionSet()], , , Exam.ExamFacade
2014/04/22 09:44:46.039, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataMWLServer : 46.38, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.039, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataMWLServer()], , , Exam.ExamFacade
2014/04/22 09:44:46.141, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataPPSServer : 46.141, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.142, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataPPSServer()], , , Exam.ExamFacade
2014/04/22 09:44:46.242, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListRefPhyName : 46.242, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.243, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListRefPhyName()], , , Exam.ExamFacade
2014/04/22 09:44:46.248, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListReadPhyName : 46.248, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.249, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListReadPhyName()], , , Exam.ExamFacade
2014/04/22 09:44:46.254, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListOperator : 46.254, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.255, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListOperator()], , , Exam.ExamFacade
2014/04/22 09:44:46.260, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataAnnotationTemplateList : 46.260, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.261, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataAnnotationTemplateList()], , , Exam.ExamFacade
2014/04/22 09:44:46.405, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAnnotationDefaultSetting : 46.405, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.406, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetAnnotationDefaultSetting()], , , Exam.ExamFacade
2014/04/22 09:44:46.508, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListMultiText : 46.508, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.509, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListMultiText()], , , Exam.ExamFacade
2014/04/22 09:44:46.513, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataImageObject : 46.513, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.514, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataImageObject()], , , Exam.ExamFacade
2014/04/22 09:44:46.628, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataListRejectReason : 46.628, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.629, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataListRejectReason()], , , Exam.ExamFacade
2014/04/22 09:44:46.632, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetUserAccountList : 46.632, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.633, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetUserAccountList()], , , Exam.ExamFacade
2014/04/22 09:44:46.646, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataLimitSetting : 46.646, , , WorkflowLibrary.Configflow
2014/04/22 09:44:46.647, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataLimitSetting()], , , Exam.ExamFacade
