2013/10/02 13:36:43.133, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.139, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.138, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.139, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.143, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.143, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.144, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.148, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.148, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.149, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.172, A-2013-P49540, 0005, I, 020200017, Workflow : facade.Initialize : 43.172, , , WorkflowLibrary.Workflow
2013/10/02 13:36:43.173, A-2013-P49540, 0005, I, 030101001, G->F CALL [Initialize()], , , Exam.ExamFacade
2013/10/02 13:36:43.202, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetDestinationSetting : 43.202, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.203, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetDestinationSetting()], , , Exam.ExamFacade
2013/10/02 13:36:43.205, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetDestinationSetting : 43.205, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.205, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetDestinationSetting()], , , Exam.ExamFacade
2013/10/02 13:36:43.207, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataApplicationExposureRecord : 43.206, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.208, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSystemDataApplicationExposureRecord()], , , Exam.ExamFacade
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.381, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetCharacterLocale()], , , Exam.ExamFacade
2013/10/02 13:36:43.393, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetInputCharSetting : 43.393, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.394, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetInputCharSetting()], , , Exam.ExamFacade
2013/10/02 13:36:43.558, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSensorInfoList : 43.558, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.559, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorInfoList()], , , Exam.ExamFacade
2013/10/02 13:36:43.606, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetAccessPointSetting : 43.606, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.607, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetAccessPointSetting()], , , Exam.ExamFacade
2013/10/02 13:36:44.161, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetSystemDataPatientInputSetting : 44.161, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow2013/10/022013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 13:36:43.380, A-2013-P49540, 0001, I, 020200005, Configflow : facade.GetIHESettingCharacterSet : 43.380, , , WorkflowLibrary.Configflow
2013/10/02 14:02:37.620, A-2013-P49540, 0001, I, 020200017, Workflow : facade : 37.620, , , WorkflowLibrary.Workflow
